name,dob,hometown,gender
Michael O'Donoghue,1940-01-05,"Sauquoit, New York, USA",male
Jane Curtin,1947-09-06,"Cambridge, Massachusetts, U.S.",female
George Coe,1929-05-10,"New York City, New York, U.S.",male
Garrett Morris,1937-02-01,"New Orleans, Louisiana, U.S.",male
Laraine Newman,1952-03-02,"Los Angeles, California, USA",female
John Belushi,1949-01-24,"Chicago, Illinois, USA",male
Gilda Radner,1946-06-28,"Detroit, Michigan, U.S.",female
Chevy Chase,1943-10-08,"Woodstock, New York, USA",male
Dan Aykroyd,1952-07-01,"Ottawa, Canada",male
Bill Murray,1950-09-21,"Evanston, Illinois, U.S.",male
Al Franken,1951-05-21,"New York City, New York, USA",male
Tom Davis,1949-01-05,"St. Paul, Minnesota, USA",male
Brian Doyle-Murray,1945-10-31,"Chicago, Illinois, U.S.",male
Don Novello,1943-01-01,"Ashtabula, Ohio, U.S.",male
Harry Shearer,1943-12-23,"Los Angeles, California, U.S.",male
Tom Schiller,,"USA",male
Paul Shaffer,1949-11-28,"Thunder Bay, Canada",male
Jim Downey,1952-10-05,"Berkeley, California, USA",male
Alan Zweibel,1950-05-20,"Brooklyn, New York, USA",male
Peter Aykroyd,,,male
Laurie Metcalf,1955-06-16,"Carbondale, Illinois, U.S.",female
Charles Rocket,1949-08-24,"Bangor, Maine, U.S.",male
Tony Rosato,1954-12-26,"Naples, Italy",male
Ann Risley,1949-09-30,"Madison, Wisconsin",female
Denny Dillon,1951-05-18,"Cleveland, Ohio, U.S.",female
Robin Duke,1954-03-13,"Etobicoke, Ontario, Canada",female
Joe Piscopo,1951-06-17,"Passaic, New Jersey, U.S.",male
Yvonne Hudson,1954-11-26,"Manhattan, New York, New York City, USA",female
Tim Kazurinsky,1950-03-03,"Johnstown, Pennsylvania, U.S.",male
Patrick Weathers,1954-01-22,"Hattieburg, Mississippia, USA",male
Gilbert Gottfried,1955-02-28,"Brooklyn, New York, USA",male
Eddie Murphy,1961-04-03,"Brooklyn, New York",male
Gail Matthius,1953-12-14,"Sioux Falls, South Dakota",female
Matthew Laurance,1950-03-02,"Queens, New York, USA",male
Mary Gross,1953-03-25,"Chicago, Illinois, U.S.",female
Christine Ebersole,1953-02-21,"Chicago, Illinois U.S.",female
Emily Prager,,"Texas, USA",female
Julia Louis-Dreyfus,1961-01-13,"New York City, New York, U.S.",female
Brad Hall,1958-03-21,"Santa Barbara, California, USA",male
