season,episode,air_date
1,1,1975-10-11
1,2,1975-10-18
1,3,1975-10-25
1,4,1975-11-08
1,5,1975-11-15
1,6,1975-11-22
1,7,1975-12-13
1,8,1975-12-20
1,9,1976-01-10
1,10,1976-01-17
1,11,1976-01-24
1,12,1976-01-31
1,13,1976-02-14
1,14,1976-02-21
1,15,1976-02-28
1,16,1976-03-13
1,17,1976-04-17
1,18,1976-04-24
1,19,1976-05-08
1,20,1976-05-15
1,21,1976-05-22
1,22,1976-05-29
1,23,1976-07-24
1,24,1976-07-31
2,1,1976-09-18
2,2,1976-09-25
2,3,1976-10-02
2,4,1976-10-16
2,5,1976-10-23
2,6,1976-10-30
2,7,1976-11-13
2,8,1976-11-20
2,9,1976-11-27
2,10,1976-12-11
2,11,1977-01-15
2,12,1977-01-22
2,13,1977-01-29
2,14,1977-02-20
2,15,1977-02-26
2,16,1977-03-12
2,17,1977-03-19
2,18,1977-03-26
2,19,1977-04-09
2,20,1977-04-16
2,21,1977-04-23
2,22,1977-05-14
2,23,1977-05-21
3,1,1977-09-24
3,2,1977-10-08
3,3,1977-10-15
3,4,1977-10-29
3,5,1977-11-12
3,6,1977-11-19
3,7,1977-12-10
3,8,1977-12-17
3,9,1978-01-21
3,10,1978-01-28
3,11,1978-02-18
3,12,1978-02-25
3,13,1978-03-11
3,14,1978-03-18
3,15,1978-03-25
3,16,1978-04-08
3,17,1978-04-15
3,18,1978-04-22
3,19,1978-05-13
3,20,1978-05-20
4,1,1978-10-07
4,2,1978-10-14
4,3,1978-10-21
4,4,1978-11-04
4,5,1978-11-11
4,6,1978-11-18
4,7,1978-12-02
4,8,1978-12-09
4,9,1978-12-16
4,10,1979-01-27
4,11,1979-02-10
4,12,1979-02-17
4,13,1979-02-24
4,14,1979-03-10
4,15,1979-03-17
4,16,1979-04-07
4,17,1979-04-14
4,18,1979-05-12
4,19,1979-05-19
4,20,1979-05-26
5,1,1979-10-13
5,2,1979-10-20
5,3,1979-11-03
5,4,1979-11-10
5,5,1979-11-17
5,6,1979-12-08
5,7,1979-12-15
5,8,1979-12-22
5,9,1980-01-26
5,10,1980-02-09
5,11,1980-02-16
5,12,1980-02-23
5,13,1980-03-08
5,14,1980-03-15
5,15,1980-04-05
5,16,1980-04-12
5,17,1980-04-19
5,18,1980-05-10
5,19,1980-05-17
5,20,1980-05-24
6,1,1980-11-15
6,2,1980-11-22
6,3,1980-12-06
6,4,1980-12-13
6,5,1980-12-20
6,6,1981-01-10
6,7,1981-01-17
6,8,1981-01-24
6,9,1981-02-07
6,10,1981-02-14
6,11,1981-02-21
6,12,1981-03-07
6,13,1981-04-11
7,1,1981-10-03
7,2,1981-10-10
7,3,1981-10-17
7,4,1981-10-31
7,5,1981-11-07
7,6,1981-11-14
7,7,1981-12-05
7,8,1981-12-12
7,9,1982-01-23
7,10,1982-01-30
7,11,1982-02-06
7,12,1982-02-20
7,13,1982-02-27
7,14,1982-03-20
7,15,1982-03-27
7,16,1982-04-10
7,17,1982-04-17
7,18,1982-04-24
7,19,1982-05-15
7,20,1982-05-22
8,1,1982-09-25
8,2,1982-10-02
8,3,1982-10-09
8,4,1982-10-23
8,5,1982-10-30
8,6,1982-11-13
8,7,1982-11-20
8,8,1982-12-04
8,9,1982-12-11
8,10,1983-01-22
8,11,1983-01-29
8,12,1983-02-05
8,13,1983-02-19
8,14,1983-02-26
8,15,1983-03-12
8,16,1983-03-19
8,17,1983-04-09
8,18,1983-04-16
8,19,1983-05-07
8,20,1983-05-14
9,1,1983-10-08
9,2,1983-10-15
9,3,1983-10-22
9,4,1983-11-05
9,5,1983-11-12
9,6,1983-11-19
9,7,1983-12-03
9,8,1983-12-10
9,9,1984-01-14
9,10,1984-01-21
9,11,1984-01-28
9,12,1984-02-11
9,13,1984-02-18
9,14,1984-02-25
9,15,1984-03-17
9,16,1984-04-07
9,17,1984-04-14
9,18,1984-05-05
9,19,1984-05-12
10,1,1984-10-06
10,2,1984-10-13
10,3,1984-10-20
10,4,1984-11-03
10,5,1984-11-10
10,6,1984-11-17
10,7,1984-12-01
10,8,1984-12-08
10,9,1984-12-15
10,10,1985-01-12
10,11,1985-01-19
10,12,1985-02-02
10,13,1985-02-09
10,14,1985-02-16
10,15,1985-03-02
10,16,1985-04-06
10,17,1985-04-06
10,18,1985-04-13
11,1,1985-11-09
11,2,1985-11-16
11,3,1985-11-23
11,4,1985-12-07
11,5,1985-12-14
11,6,1985-12-21
11,7,1986-01-18
11,8,1986-01-25
11,9,1986-02-08
11,10,1986-02-15
11,11,1986-02-22
11,12,1986-03-15
11,13,1986-03-22
11,14,1986-04-12
11,15,1986-04-19
11,16,1986-05-10
11,17,1986-05-17
11,18,1986-05-24
12,1,1986-10-11
12,2,1986-10-18
12,3,1986-11-08
12,4,1986-11-15
12,5,1986-11-22
12,6,1986-12-06
12,7,1986-12-13
12,8,1986-12-20
12,9,1987-01-24
12,10,1987-01-31
12,11,1987-02-14
12,12,1987-02-21
12,13,1987-02-28
12,14,1987-03-21
12,15,1987-03-28
12,16,1987-04-11
12,17,1987-04-18
12,18,1987-05-09
12,19,1987-05-16
12,20,1987-05-23
13,1,1987-10-17
13,2,1987-10-24
13,3,1987-10-31
13,4,1987-11-14
13,5,1987-11-21
13,6,1987-12-05
13,7,1987-12-12
13,8,1987-12-19
13,9,1988-01-23
13,10,1988-01-30
13,11,1988-02-13
13,12,1988-02-20
13,13,1988-02-27
14,1,1988-10-08
14,2,1988-10-15
14,3,1988-10-22
14,4,1988-11-05
14,5,1988-11-12
14,6,1988-11-19
14,7,1988-12-03
14,8,1988-12-10
14,9,1988-12-17
14,10,1989-01-21
14,11,1989-01-28
14,12,1989-01-28
14,13,1989-02-18
14,14,1989-02-25
14,15,1989-03-25
14,16,1989-04-01
14,17,1989-04-15
14,18,1989-04-22
14,19,1989-05-13
14,20,1989-05-20
15,1,1989-09-30
15,2,1989-10-07
15,3,1989-10-21
15,4,1989-10-28
15,5,1989-11-11
15,6,1989-11-18
15,7,1989-12-02
15,8,1989-12-09
15,9,1989-12-16
15,10,1990-01-13
15,11,1990-01-20
15,12,1990-02-10
15,13,1990-02-17
15,14,1990-02-24
15,15,1990-03-17
15,16,1990-03-24
15,17,1990-04-14
15,18,1990-04-21
15,19,1990-05-12
15,20,1990-05-19
16,1,1990-09-29
16,2,1990-10-06
16,3,1990-10-20
16,4,1990-10-27
16,5,1990-11-10
16,6,1990-11-17
16,7,1990-12-01
16,8,1990-12-08
16,9,1990-12-15
16,10,1991-01-12
16,11,1991-01-19
16,12,1991-02-09
16,13,1991-02-16
16,14,1991-02-23
16,15,1991-03-16
16,16,1991-03-23
16,17,1991-04-13
16,18,1991-04-20
16,19,1991-05-11
16,20,1991-05-18
17,1,1991-09-28
17,2,1991-10-05
17,3,1991-10-12
17,4,1991-10-26
17,5,1991-11-02
17,6,1991-11-16
17,7,1991-11-23
17,8,1991-12-07
17,9,1991-12-14
17,10,1992-01-11
17,11,1992-01-18
17,12,1992-02-08
17,13,1992-02-15
17,14,1992-02-22
17,15,1992-03-14
17,16,1992-03-21
17,17,1992-04-11
17,18,1992-04-18
17,19,1992-05-09
17,20,1992-05-16
18,1,1992-09-28
18,2,1992-10-03
18,3,1992-10-10
18,4,1992-10-24
18,5,1992-10-31
18,6,1992-11-14
18,7,1992-11-21
18,8,1992-12-05
18,9,1992-12-12
18,10,1993-01-09
18,11,1993-01-16
18,12,1993-02-06
18,13,1993-02-13
18,14,1993-02-20
18,15,1993-03-13
18,16,1993-03-20
18,17,1993-04-10
18,18,1993-04-24
18,19,1993-05-15
18,20,1993-05-22
19,1,1993-09-25
19,2,1993-10-02
19,3,1993-10-09
19,4,1993-10-23
19,5,1993-10-31
19,6,1993-11-13
19,7,1993-11-20
19,8,1993-12-04
19,9,1993-12-11
19,10,1994-01-08
19,11,1994-01-15
19,12,1994-02-05
19,13,1994-02-12
19,14,1994-02-19
19,15,1994-03-12
19,16,1994-03-19
19,17,1994-04-09
19,18,1994-04-16
19,19,1994-05-07
19,20,1994-05-14
20,1,1994-09-24
20,2,1994-10-01
20,3,1994-10-15
20,4,1994-10-22
20,5,1994-11-12
20,6,1994-11-17
20,7,1994-12-03
20,8,1994-12-10
20,9,1994-12-17
20,10,1995-01-14
20,11,1995-01-21
20,12,1995-02-11
20,13,1995-02-18
20,14,1995-02-25
20,15,1995-03-18
20,16,1995-03-25
20,17,1995-04-08
20,18,1995-04-15
20,19,1995-05-06
20,20,1995-05-13
21,1,1995-09-30
21,2,1995-10-07
21,3,1995-10-21
21,4,1995-10-28
21,5,1995-11-11
21,6,1995-11-18
21,7,1995-12-02
21,8,1995-12-09
21,9,1995-12-16
21,10,1996-01-13
21,11,1996-01-20
21,12,1996-02-10
21,13,1996-02-17
21,14,1996-02-24
21,15,1996-03-16
21,16,1996-03-23
21,17,1996-04-13
